OBJECTID,Lon,Lat,Depth,Dip,Strike
129,212.400000000000006,59.350000000000001,-15.780600000000000,3.725100000000000,199.348000000000013
130,212.449999999999989,59.350000000000001,-15.603300000000001,3.833400000000000,198.670099999999991
131,212.449999999999989,59.299999999999997,-15.484500000000001,3.813000000000000,198.753399999999999
132,212.500000000000000,59.299999999999997,-15.302600000000000,3.908000000000000,198.146700000000010
133,212.550000000000011,59.250000000000000,-14.998200000000001,3.979300000000000,197.875799999999998
134,212.599999999999994,59.200000000000003,-14.688499999999999,4.059400000000000,197.866199999999992
135,212.650000000000006,59.149999999999999,-14.371100000000000,4.157900000000000,198.111899999999991
136,212.699999999999989,59.149999999999999,-14.171900000000001,4.238900000000000,197.914800000000014
137,212.699999999999989,59.100000000000001,-14.042700000000000,4.280300000000000,198.582799999999992
138,212.750000000000000,59.100000000000001,-13.837800000000000,4.367000000000000,198.462299999999999
139,212.750000000000000,59.049999999999997,-13.700100000000001,4.427000000000000,199.225699999999989
140,212.800000000000011,59.049999999999997,-13.488700000000000,4.518500000000000,199.167499999999990
141,212.849999999999994,59.000000000000000,-13.122000000000000,4.687300000000000,199.960599999999999
142,212.900000000000006,58.950000000000003,-12.735900000000001,4.864200000000000,200.774799999999999
143,212.949999999999989,58.899999999999999,-12.330000000000000,5.037700000000000,201.555299999999988
144,213.000000000000000,58.899999999999999,-12.092900000000000,5.105100000000000,201.732900000000001
145,213.000000000000000,58.850000000000001,-11.905200000000001,5.195700000000000,202.263800000000003
146,213.050000000000011,58.850000000000001,-11.661799999999999,5.249200000000000,202.445200000000000
147,213.050000000000011,58.799999999999997,-11.463500000000000,5.326400000000000,202.877999999999986
148,213.099999999999994,58.799999999999997,-11.215199999999999,5.360900000000000,203.061599999999999
149,213.099999999999994,58.750000000000000,-11.008100000000001,5.419000000000000,203.389199999999988
150,213.150000000000006,58.750000000000000,-10.756600000000001,5.430300000000000,203.576400000000007
151,213.199999999999989,58.700000000000003,-10.290900000000001,5.449000000000000,203.992899999999992
152,213.250000000000000,58.649999999999999,-9.823100000000000,5.411200000000000,204.319500000000005
153,213.300000000000011,58.600000000000001,-9.359100000000000,5.313700000000000,204.567800000000005
154,213.349999999999994,58.600000000000001,-9.116400000000001,5.213000000000000,204.908400000000000
155,213.349999999999994,58.549999999999997,-8.904400000000001,5.156300000000000,204.750200000000007
156,213.400000000000006,58.549999999999997,-8.669800000000000,5.026000000000000,205.107499999999987
157,213.400000000000006,58.500000000000000,-8.464800000000000,4.941400000000000,204.878299999999996
