X,Y,Name,description,altitudeMode,sta,Field1,lon,staname,elev,lat,net,FID,Field_1
-109.3344,-27.1267,"b'Rapanui, Easter Island, Chile'",,clampToGround,b'RPN',439,-109.3344,"b'Rapanui, Easter Island, Chile'",0.11,-27.1267,b'II',336,"b'Rapanui, Easter Island, Chile'"
-130.2523,54.3262,"b'Prince Rupert, BC, CA'",,clampToGround,b'RUBB',441,-130.2523,"b'Prince Rupert, BC, CA'",0.012,54.3262,b'mag',338,"b'Prince Rupert, BC, CA'"
-162.061,55.703,"b'Black Hills, AK, USA'",,clampToGround,b'S12K',442,-162.061,"b'Black Hills, AK, USA'",0.411,55.703,"b'mag, AV'",339,"b'Black Hills, AK, USA'"
-159.5532,56.2848,"b'Fog Glacier, AK, USA'",,clampToGround,b'S14K',443,-159.5532,"b'Fog Glacier, AK, USA'",1.059,56.2848,"b'AV, mag'",340,"b'Fog Glacier, AK, USA'"
-136.232,57.9616,"b'Pelican, AK, USA'",,clampToGround,b'S31K',444,-136.232,"b'Pelican, AK, USA'",0.034,57.9616,"b'AK, mag'",341,"b'Pelican, AK, USA'"
-134.5763,57.4688,"b'Killisnoo, AK, USA'",,clampToGround,b'S32K',445,-134.5763,"b'Killisnoo, AK, USA'",0.026,57.4688,"b'mag, AK'",342,"b'Killisnoo, AK, USA'"
-140.7828,60.1294,"b'Samovar Hills, AK, USA'",,clampToGround,b'SAMH',447,-140.7828,"b'Samovar Hills, AK, USA'",1.14,60.1294,"b'AK, Steep, mag'",344,"b'Samovar Hills, AK, USA'"
-63.1831,-8.9489,"b'Samuel, Brazil'",,clampToGround,b'SAML',448,-63.1831,"b'Samuel, Brazil'",0.12,-8.9489,b'IU',345,"b'Samuel, Brazil'"
-148.3316,61.807,"b'Sawmill, AK, USA'",,clampToGround,b'SAW',449,-148.3316,"b'Sawmill, AK, USA'",0.781,61.807,"b'AK, mag'",346,"b'Sawmill, AK, USA'"
166.7572,-77.8492,"b'Scott Base, Antarctica'",,clampToGround,b'SBA',450,166.7572,"b'Scott Base, Antarctica'",0.05,-77.8492,b'IU',347,"b'Scott Base, Antarctica'"
-147.329,61.832,"b'Sheep Mountain, AK, USA'",,clampToGround,b'SCM',451,-147.329,"b'Sheep Mountain, AK, USA'",1.05,61.832,"b'AK, mag'",348,"b'Sheep Mountain, AK, USA'"
-160.4766,55.3493,"b'Sand Point, Alaska'",,clampToGround,b'SDPT',453,-160.4766,"b'Sand Point, Alaska'",0.074,55.3493,"b'AT, mag, CREST'",350,"b'Sand Point, Alaska'"
-70.634,8.8839,"b'Santo Domingo, Venezuela'",,clampToGround,b'SDV',454,-70.634,"b'Santo Domingo, Venezuela'",1.62,8.8839,b'IU',351,"b'Santo Domingo, Venezuela'"
-50.6208,66.9961,"b'Sondre Stromfjord, Greenland'",,clampToGround,b'SFJD',455,-50.6208,"b'Sondre Stromfjord, Greenland'",0.33,66.9961,b'IU',352,"b'Sondre Stromfjord, Greenland'"
-5.7457,-15.9588,"b'Horse Pasture, St. Helena Island'",,clampToGround,b'SHEL',456,-5.7457,"b'Horse Pasture, St. Helena Island'",0.537,-15.9588,b'II',353,"b'Horse Pasture, St. Helena Island'"
