SDDR     18.9821  -71.2878    0.5890 Presa de Sabenta, Dominican Republic              
SDV       8.8839  -70.6340    1.6200 Santo Domingo, Venezuela                          
SFJD     66.9961  -50.6208    0.3300 Sondre Stromfjord, Greenland                      
SHEL    -15.9588   -5.7457    0.5370 Horse Pasture, St. Helena Island                  
SJG      18.1091  -66.1500    0.4200 San Juan, Puerto Rico                             
SLBS     23.6858 -109.9443    0.8250 Sierra la Laguna Baja California Sur, Mexico      
SNZO    -41.3087  174.7043    0.1200 South Karori, New Zealand                         
SSE      31.0948  121.1908    0.0400 Shanghai, China                                   
SSPA     40.6358  -77.8876    0.2700 Standing Stone, Pennsylvania                      
SUR     -32.3797   20.8117    1.7700 Sutherland, South Africa                          
TARA      1.3549  172.9229    0.0200 Tarawa Island, Republic of Kiribati               
TATO     24.9735  121.4971    0.1600 Taipei, Taiwan                                    
TAU     -42.9099  147.3204    0.1320 Hobart, Tasmania, Australia                       
TEIG     20.2263  -88.2763    0.0400 Tepich, Yucatan, Mexico                           
TGUH     14.0570  -87.2730    1.1510 Tegucigalpa, Honduras                             
TIXI     71.6341  128.8667    0.0400 Tiksi, Russia                                     
TLY      51.6807  103.6438    0.5790 Talaya, Russia                                    
TRIS    -37.0681  -12.3152    0.0600 Tristan da Cunha                                  
TRQA    -38.0568  -61.9787    0.5400 Tornquist, Argentina                              
TSUM    -19.2022   17.5838    1.2600 Tsumeb, Namibia                                   
TUC      32.3098 -110.7847    0.9100 Tucson, Arizona                                   
TX31     29.3342 -103.6678    1.0250 TXAR Array, Lajitas, TX, USA                      
TX32     29.3338 -103.6670    1.0130 TXAR Array, Lajitas, TX, USA                      
ULN      47.8651  107.0532    1.6100 Ulaanbaatar, Mongolia                             
UOSS     24.9453   56.2042    0.2844 Univ. of Sharjah, Sharjah, United Arab Emirates   
VNDA    -77.5172  161.8528    0.1510 Wright Valley (Bull Pass) Antarctica              
WAKE     19.2834  166.6520    0.0200 Wake Island                                       
WCI      38.2289  -86.2939    0.2100 Wyandotte Cave, Indiana, USA                      
WMQ      43.8138   87.7049    0.8500 Urumqi, Xinjiang Province, China                  
WRAB    -19.9336  134.3600    0.3660 Tennant Creek, NT, Australia                      
WVT      36.1297  -87.8300    0.1700 Waverly, Tennessee, USA                           
XAN      34.0313  108.9237    0.6300 Xi'an, China                                      
XMAS      2.0448 -157.4457    0.0200 Kiritimati Island, Republic of Kiribati           
YAK      62.0310  129.6805    0.1100 Yakutsk, Russia                                   
YSS      46.9587  142.7604    0.1500 Yuzhno Sakhalinsk, Russia                         
ADK      51.8823 -176.6842    0.1300 Adak, Aleutian Islands, Alaska                    
KDAK     57.7828 -152.5835    0.1520 Kodiak Island, Alaska, USA                        
A36M     71.9871 -125.2472    0.0320 Sachs Harbour, NT, CAN                            
C24K     69.7200 -148.7009    0.1150 Franklin Bluffs, AK, USA                          
C36M     69.3475 -124.0703    0.0100 Paulatuk, NT, CAN                                 
D19K     68.4946 -158.1151    0.6710 Kuna River, AK, USA                               
D23K     68.9656 -150.6807    0.4060 Nanushuk River, AK USA                            
D27M     69.2430 -140.9648    0.8960 Malcolm River, YT, CAN                            
D28M     69.3286 -138.7367    0.0320 Stokes Point, YT, CAN                             
E17K     67.0820 -161.8262    0.2330 Hotham Inlet, AK, USA                             
E20K     68.2575 -156.1885    0.8660 Nigu River, AK, USA                               
E23K     68.0584 -149.6163    1.0840 Chandalar, AK, USA                                
E28M     68.6043 -139.5349    0.4740 Babbage River, YT, CAN                            
E29M     68.3889 -137.8969    0.3240 Blow River, YT, CAN                               
EPYK     66.3701 -136.7191    0.7170 Eagle Plains, Yukon Territory, CAN                
F14K     65.4742 -166.3288    0.2660 Arctic Creek, AK, USA                             
F17K     66.4420 -161.2502    0.0510 Baldwin Penninsula, AK, USA                       
F19K     66.8332 -157.7728    0.1610 Shaleruckik Mountain, AK, USA                     
F22K     67.5076 -152.1790    0.5460 John River, AK, USA                               
F24K     67.5187 -147.8871    0.7360 Squaw Lake, AK, USA                               
F25K     67.5933 -145.6430    0.8640 Christian River, AK, USA                          
F26K     67.6946 -144.1455    0.6830 Sheenjek River, AK, USA                           
F28M     67.6136 -139.8717    0.5640 Old Crow, YT, CAN                                 
F30M     67.6106 -135.7863    0.4140 Barrier River, YT, CAN                            
F31M     67.4410 -133.7420    0.0560 Tsiigehtchic, NWT, CAN                            
G15K     64.9941 -164.0386    0.2490 Niukluk, AK, USA                                  
G16K     65.3936 -162.3547    0.1690 Koyuk River, AK, USA                              
G18K     65.8950 -158.6540    0.4840 Tagagawik, AK, USA                                
G21K     66.5156 -153.5058    0.4460 Allakaket, AK, USA                                
G25K     66.7653 -146.1013    0.1460 Bearman Lake, AK, USA                             
G26K     66.9498 -143.7848    0.1800 Porcupine River, AK, USA                          
G29M     66.9116 -138.0223    0.5720 Pine Creek, YT, CAN                               
