 0 1 2 3 4 5 6 7 8
211 -148.300 60.650 -22.880 4.620 222.940 118.105 -0.437 -148.295 60.653
212 -148.250 60.650 -22.720 4.630 221.270 120.147 1.368 -148.267 60.641
213 -148.200 60.650 -22.550 4.620 219.750 122.187 3.174 -148.239 60.629
214 -148.300 60.600 -22.580 4.430 223.970 121.785 -4.604 -148.244 60.631
215 -148.250 60.600 -22.430 4.430 222.270 123.830 -2.797 -148.216 60.619
216 -148.200 60.600 -22.270 4.430 220.690 125.874 -0.988 -148.188 60.607
217 -148.150 60.600 -22.110 4.430 219.260 127.916 0.822 -148.160 60.594
218 -148.100 60.600 -21.940 4.410 218.000 129.957 2.635 -148.132 60.582
219 -148.050 60.600 -21.780 4.390 216.920 131.997 4.448 -148.104 60.570
220 -148.150 60.550 -21.840 4.260 220.340 131.606 -3.337 -148.109 60.572
221 -148.100 60.550 -21.680 4.250 218.980 133.650 -1.522 -148.082 60.560
222 -148.050 60.550 -21.520 4.240 217.790 135.693 0.295 -148.054 60.548
223 -148.000 60.550 -21.360 4.220 216.780 137.734 2.113 -148.026 60.536
224 -147.950 60.550 -21.200 4.200 215.950 139.774 3.932 -147.998 60.524
225 -148.050 60.500 -21.270 4.110 218.840 139.389 -3.859 -148.003 60.526
226 -148.000 60.500 -21.120 4.100 217.700 141.433 -2.038 -147.975 60.514
227 -147.950 60.500 -20.960 4.090 216.740 143.476 -0.215 -147.947 60.501
228 -147.900 60.500 -20.800 4.070 215.980 145.518 1.608 -147.920 60.489
229 -147.850 60.500 -20.640 4.050 215.400 147.559 3.434 -147.892 60.477
230 -147.950 60.450 -20.720 3.990 217.670 147.179 -4.363 -147.897 60.479
231 -147.900 60.450 -20.570 3.980 216.760 149.224 -2.537 -147.869 60.467
232 -147.850 60.450 -20.420 3.970 216.050 151.267 -0.708 -147.841 60.455
233 -147.800 60.450 -20.260 3.960 215.550 153.309 1.122 -147.814 60.442
234 -147.750 60.450 -20.110 3.940 215.230 155.350 2.953 -147.786 60.430
235 -147.700 60.450 -19.950 3.910 215.110 157.389 4.786 -147.758 60.418
236 -147.850 60.400 -20.190 3.900 216.770 154.976 -4.850 -147.791 60.432
237 -147.800 60.400 -20.040 3.900 216.120 157.021 -3.018 -147.763 60.420
238 -147.750 60.400 -19.890 3.890 215.690 159.065 -1.184 -147.736 60.408
239 -147.700 60.400 -19.740 3.870 215.460 161.107 0.652 -147.708 60.396
240 -147.650 60.400 -19.590 3.850 215.430 163.148 2.489 -147.680 60.383
241 -147.600 60.400 -19.440 3.820 215.580 165.188 4.328 -147.653 60.371
242 -147.700 60.350 -19.520 3.840 215.780 164.825 -3.482 -147.658 60.373
243 -147.650 60.350 -19.370 3.830 215.640 166.870 -1.641 -147.630 60.361
244 -147.600 60.350 -19.220 3.810 215.710 168.912 0.200 -147.602 60.349
245 -147.550 60.350 -19.070 3.780 215.980 170.954 2.043 -147.575 60.336
246 -147.500 60.350 -18.930 3.750 216.450 172.994 3.888 -147.547 60.324
247 -147.600 60.300 -19.000 3.800 215.760 172.637 -3.928 -147.552 60.326
248 -147.550 60.300 -18.860 3.780 215.940 174.681 -2.082 -147.525 60.314
249 -147.500 60.300 -18.710 3.760 216.340 176.724 -0.234 -147.497 60.302
250 -147.450 60.300 -18.560 3.730 216.930 178.766 1.615 -147.470 60.289
251 -147.400 60.300 -18.420 3.690 217.730 180.807 3.465 -147.442 60.277
252 -147.500 60.250 -18.490 3.770 216.100 180.455 -4.357 -147.447 60.279
253 -147.450 60.250 -18.350 3.750 216.630 182.500 -2.505 -147.419 60.267
254 -147.400 60.250 -18.200 3.720 217.370 184.543 -0.651 -147.392 60.254
255 -147.350 60.250 -18.060 3.680 218.330 186.585 1.204 -147.365 60.242
256 -147.300 60.250 -17.920 3.640 219.500 188.626 3.060 -147.337 60.230
257 -147.400 60.200 -17.980 3.750 216.880 188.280 -4.768 -147.342 60.232
258 -147.350 60.200 -17.840 3.720 217.780 190.325 -2.910 -147.315 60.219
259 -147.300 60.200 -17.700 3.680 218.910 192.369 -1.051 -147.287 60.207
260 -147.250 60.200 -17.560 3.630 220.260 194.411 0.810 -147.260 60.195
261 -147.200 60.200 -17.430 3.570 221.840 196.452 2.673 -147.233 60.182
262 -147.150 60.200 -17.310 3.500 223.650 198.492 4.537 -147.205 60.170
263 -147.250 60.150 -17.340 3.670 219.490 198.158 -3.298 -147.210 60.172
264 -147.200 60.150 -17.200 3.610 221.030 200.202 -1.433 -147.183 60.160
265 -147.150 60.150 -17.070 3.540 222.820 202.244 0.434 -147.155 60.147
266 -147.100 60.150 -16.950 3.470 224.840 204.286 2.303 -147.128 60.135
267 -147.050 60.150 -16.830 3.380 227.100 206.325 4.173 -147.101 60.122
268 -147.150 60.100 -16.840 3.580 221.840 205.997 -3.668 -147.105 60.124
269 -147.100 60.100 -16.710 3.500 223.840 208.041 -1.797 -147.078 60.112
270 -147.050 60.100 -16.590 3.420 226.090 210.084 0.076 -147.051 60.099
271 -147.000 60.100 -16.480 3.330 228.570 212.126 1.950 -147.024 60.087
272 -146.950 60.100 -16.380 3.250 231.260 214.166 3.826 -146.997 60.075
273 -147.050 60.050 -16.360 3.450 224.930 213.843 -4.021 -147.001 60.077
274 -147.000 60.050 -16.240 3.360 227.400 215.887 -2.144 -146.974 60.064
275 -146.950 60.050 -16.130 3.270 230.090 217.930 -0.265 -146.947 60.052
276 -146.900 60.050 -16.040 3.180 232.990 219.972 1.615 -146.920 60.039
277 -146.850 60.050 -15.950 3.110 236.030 222.012 3.497 -146.893 60.027
278 -146.950 60.000 -15.890 3.290 228.750 221.695 -4.356 -146.897 60.029
279 -146.900 60.000 -15.790 3.200 231.640 223.740 -2.473 -146.870 60.016
280 -146.850 60.000 -15.700 3.110 234.710 225.783 -0.588 -146.843 60.004
281 -146.800 60.000 -15.620 3.040 237.880 227.825 1.298 -146.816 59.991
282 -146.750 60.000 -15.540 2.980 241.110 229.866 3.186 -146.789 59.979
283 -146.850 59.950 -15.460 3.120 233.170 229.554 -4.674 -146.793 59.981
284 -146.800 59.950 -15.370 3.050 236.350 231.599 -2.785 -146.766 59.968
285 -146.750 59.950 -15.290 2.980 239.600 233.643 -0.894 -146.739 59.956
286 -146.700 59.950 -15.220 2.940 242.840 235.685 0.998 -146.712 59.943
287 -146.650 59.950 -15.160 2.900 246.010 237.726 2.892 -146.685 59.931
288 -146.750 59.900 -15.040 2.990 237.830 237.420 -4.974 -146.689 59.933
289 -146.700 59.900 -14.970 2.940 241.080 239.466 -3.079 -146.662 59.920
290 -146.650 59.900 -14.900 2.900 244.270 241.509 -1.182 -146.636 59.908
291 -146.600 59.900 -14.850 2.880 247.350 243.552 0.716 -146.609 59.895
292 -146.550 59.900 -14.800 2.880 250.260 245.593 2.616 -146.582 59.883
293 -146.500 59.900 -14.750 2.880 252.980 247.633 4.517 -146.555 59.870
294 -146.600 59.850 -14.590 2.890 245.330 247.338 -3.355 -146.559 59.872
295 -146.550 59.850 -14.530 2.880 248.270 249.382 -1.453 -146.532 59.860
296 -146.500 59.850 -14.490 2.890 251.040 251.425 0.451 -146.506 59.847
297 -146.450 59.850 -14.440 2.900 253.610 253.466 2.357 -146.479 59.835
298 -146.400 59.850 -14.410 2.930 255.970 255.506 4.264 -146.452 59.822
299 -146.500 59.800 -14.220 2.910 248.760 255.217 -3.614 -146.456 59.824
300 -146.450 59.800 -14.170 2.930 251.380 257.262 -1.706 -146.429 59.811
301 -146.400 59.800 -14.130 2.950 253.810 259.305 0.204 -146.402 59.799
302 -146.350 59.800 -14.090 2.990 256.060 261.346 2.116 -146.376 59.786
303 -146.300 59.800 -14.060 3.020 258.140 263.386 4.029 -146.349 59.774
304 -146.400 59.750 -13.860 2.980 251.320 263.103 -3.855 -146.353 59.775
305 -146.350 59.750 -13.810 3.020 253.640 265.148 -1.941 -146.326 59.763
306 -146.300 59.750 -13.770 3.060 255.800 267.191 -0.025 -146.300 59.750
307 -146.250 59.750 -13.740 3.110 257.800 269.232 1.893 -146.273 59.738
308 -146.200 59.750 -13.710 3.160 259.660 271.272 3.812 -146.247 59.725
309 -146.300 59.700 -13.480 3.110 253.160 270.995 -4.079 -146.250 59.727
310 -146.250 59.700 -13.440 3.160 255.250 273.040 -2.159 -146.224 59.714
311 -146.200 59.700 -13.400 3.210 257.200 275.083 -0.237 -146.197 59.702
312 -146.150 59.700 -13.370 3.270 259.010 277.125 1.687 -146.171 59.689
313 -146.100 59.700 -13.340 3.330 260.690 279.165 3.612 -146.144 59.676
314 -146.200 59.650 -13.100 3.270 254.480 278.894 -4.285 -146.148 59.678
315 -146.150 59.650 -13.060 3.330 256.380 280.939 -2.359 -146.121 59.665
316 -146.100 59.650 -13.020 3.400 258.150 282.982 -0.431 -146.095 59.653
317 -146.050 59.650 -12.990 3.470 259.790 285.024 1.499 -146.068 59.640
318 -146.000 59.650 -12.960 3.540 261.280 287.064 3.430 -146.042 59.628
319 -146.100 59.600 -12.700 3.470 255.400 286.799 -4.473 -146.045 59.629
320 -146.050 59.600 -12.660 3.540 257.120 288.844 -2.541 -146.019 59.617
321 -146.000 59.600 -12.620 3.610 258.710 290.887 -0.607 -145.993 59.604
322 -145.950 59.600 -12.590 3.690 260.150 292.930 1.328 -145.966 59.591
323 -145.900 59.600 -12.560 3.760 261.420 294.970 3.265 -145.940 59.579
324 -146.000 59.550 -12.270 3.690 255.970 294.711 -4.644 -145.943 59.580
325 -145.950 59.550 -12.230 3.760 257.510 296.756 -2.706 -145.917 59.568
326 -145.900 59.550 -12.190 3.840 258.900 298.799 -0.766 -145.891 59.555
327 -145.850 59.550 -12.160 3.920 260.120 300.841 1.175 -145.864 59.542
